Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g)
0,,,,,0,-0.056640625,-0.95703125
0,,,,,0,-0.052734375,-0.962890625
0.06523,,,,,0,-0.0546875,-0.95703125
0.033085,,,,,0,-0.052734375,-0.958984375
0.095875,,,,,0,-0.052734375,-0.9609375
0.12372,,,,,0,-0.0546875,-0.9609375
0.15529,,,,,0,-0.0546875,-0.9609375
0.18764,,,,,0,-0.0546875,-0.95703125
0.22024,,,,,0,-0.052734375,-0.95703125
0.25263,,,,,0,-0.052734375,-0.958984375
0.30134,,,,,0,-0.0546875,-0.9609375
0.349365,,,,,0,-0.0546875,-0.9609375
0.37781,,,,,0,-0.0546875,-0.95703125
0.405515,,,,,0,-0.0546875,-0.9609375
0.43323,,,,,0,-0.052734375,-0.962890625
0.469775,,,,,0,-0.052734375,-0.9609375
0.499475,,,,,0,-0.0546875,-0.958984375
0.529885,,,,,0,-0.052734375,-0.958984375
0.56194,,,,,0,-0.052734375,-0.9609375
0.59735,,,,,0,-0.052734375,-0.9609375
0.643765,,,,,0,-0.052734375,-0.9609375
0.698925,,,,,0,-0.052734375,-0.958984375
0.74386,,,,,0,-0.052734375,-0.958984375
0.775315,,,,,0,-0.052734375,-0.9609375
0.81518,,,,,0,-0.052734375,-0.9609375
0.8496,,,,,0,-0.0546875,-0.958984375
0.884745,,,,,0,-0.052734375,-0.958984375
0.919835,,,,,0,-0.0546875,-0.962890625
0.95784,,,,,0,-0.0546875,-0.9609375
1.01796,,,,,0,-0.052734375,-0.958984375
1.05486,,,,,0,-0.052734375,-0.958984375
1.091725,,,,,0,-0.0546875,-0.9609375
1.12488,,,,,-0.015625,-0.03125,-0.966796875
1.156865,,,,,0,-0.046875,-0.955078125
1.188865,,,,,-0.025390625,-0.029296875,-0.962890625
1.218185,,,,,-0.01953125,-0.02734375,-0.97265625
1.244955,,,,,-0.009765625,-0.013671875,-0.99609375
1.307665,,,,,-0.01953125,-0.0390625,-0.98046875
1.334,,,,,-0.009765625,-0.037109375,-0.96484375
1.373035,,,,,0,-0.04296875,-0.966796875
1.40506,,,,,-0.0078125,-0.044921875,-0.9609375
1.43749,,,,,0,-0.0546875,-0.9609375
1.463535,,,,,0,-0.05078125,-0.958984375
1.492795,,,,,0,-0.0546875,-0.958984375
1.523085,,,,,0,-0.0546875,-0.95703125
1.555385,,,,,0,-0.05078125,-0.958984375
1.582155,,,,,-0.01953125,-0.025390625,-0.978515625
1.61429,,,,,0,-0.0390625,-0.98828125
1.64468,,,,,0,-0.0546875,-0.98046875
1.680715,,,,,0,-0.03515625,-0.994140625
1.717995,,,,,0,-0.0546875,-0.96484375
1.7458,,,,,0,-0.0546875,-0.9609375
1.774625,,,,,0,-0.052734375,-0.9609375
1.804,,,,,0,-0.052734375,-0.958984375
1.86031,,,,,0,-0.0546875,-0.9609375
1.90324,,,,,0,-0.0546875,-0.958984375
1.93723,,,,,0,-0.052734375,-0.9609375
1.96312,,,,,0,-0.052734375,-0.958984375
1.993305,,,,,0,-0.0546875,-0.958984375
2.034165,,,,,0,-0.052734375,-0.958984375
2.067535,,,,,0,-0.052734375,-0.962890625
2.09713,,,,,0,-0.0546875,-0.9609375
2.136125,,,,,0,-0.052734375,-0.95703125
2.16633,,,,,0,-0.052734375,-0.9609375
2.196945,,,,,0,-0.0546875,-0.962890625
2.2525,,,,,0,-0.052734375,-0.9609375
2.305125,,,,,0,-0.052734375,-0.958984375
2.33272,,,,,0,-0.0546875,-0.9609375
2.36039,,,,,0,-0.052734375,-0.962890625
2.39419,,,,,0,-0.0546875,-0.9609375
2.423535,,,,,0,-0.052734375,-0.958984375
2.459395,,,,,0,-0.0546875,-0.958984375
2.486865,,,,,0,-0.052734375,-0.958984375
2.51644,,,,,0,-0.052734375,-0.9609375
2.546965,,,,,0,-0.0546875,-0.9609375
2.574525,,,,,0,-0.052734375,-0.9609375
2.605225,,,,,0,-0.052734375,-0.9609375
2.63313,,,,,0,-0.052734375,-0.9609375
2.668015,,,,,0,-0.0546875,-0.9609375
2.704295,,,,,0,-0.052734375,-0.9609375
2.741415,,,,,0,-0.052734375,-0.958984375
2.772455,,,,,0,-0.052734375,-0.958984375
2.79807,,,,,0,-0.052734375,-0.9609375
2.840055,,,,,0,-0.0546875,-0.9609375
2.871635,,,,,0,-0.0546875,-0.9609375
2.90135,,,,,0,-0.0546875,-0.9609375
2.933675,,,,,0,-0.0546875,-0.958984375
2.972665,,,,,0,-0.0546875,-0.9609375
3.00731,,,,,0,-0.052734375,-0.9609375
3.043115,,,,,0,-0.0546875,-0.9609375
3.076145,,,,,0,-0.052734375,-0.9609375
3.105565,,,,,0,-0.0546875,-0.958984375
3.137165,,,,,0,-0.052734375,-0.9609375
3.16788,,,,,0,-0.052734375,-0.958984375
3.20308,,,,,0,-0.0546875,-0.958984375
3.231855,,,,,0,-0.052734375,-0.958984375
3.271385,,,,,0,-0.052734375,-0.9609375
3.306765,,,,,0,-0.052734375,-0.962890625
3.33925,,,,,0,-0.052734375,-0.958984375
3.371625,,,,,0,-0.0546875,-0.958984375
3.40956,,,,,0,-0.0546875,-0.9609375
3.44911,,,,,0,-0.0546875,-0.9609375
3.486215,,,,,0,-0.0546875,-0.958984375
3.51515,,,,,0,-0.0546875,-0.9609375
3.547,,,,,0,-0.052734375,-0.9609375
3.57361,,,,,0,-0.0546875,-0.958984375
3.612645,,,,,0,-0.0546875,-0.958984375
3.64419,,,,,0,-0.052734375,-0.9609375
